symbol,open,high,low,close,trades,volume,vwap,interval_begin,interval,timestamp
KAVA/USD,0.4215,0.4215,0.4215,0.4215,1,1020.586088,0.4215,2025-02-03T02:06:00.000000000Z,1,2025-02-03T02:07:00.000000Z
KAVA/USD,0.4203,0.4203,0.4203,0.4203,1,990.36698078,0.4203,2025-02-03T02:05:00.000000000Z,1,2025-02-03T02:06:00.000000Z
KAVA/USD,0.4202,0.4202,0.4202,0.4202,12,1215.04251656,0.4202,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
KAVA/USD,0.4202,0.4202,0.4202,0.4202,8,1141.14251656,0.4202,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
KAVA/USD,0.4202,0.4202,0.4202,0.4202,7,1121.94753396,0.4202,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
KAVA/USD,0.4202,0.4202,0.4202,0.4202,6,1051.81260465,0.4202,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
KAVA/USD,0.4202,0.4202,0.4202,0.4202,2,103.19113975,0.4202,2025-02-03T02:04:00.000000000Z,1,2025-02-03T02:05:00.000000Z
KAVA/USD,0.4211,0.4211,0.4211,0.4211,1,501.81799714,0.4211,2025-02-03T02:03:00.000000000Z,1,2025-02-03T02:04:00.000000Z
KAVA/USD,0.4198,0.4198,0.4198,0.4198,3,704.4936,0.4198,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
KAVA/USD,0.4198,0.4198,0.4198,0.4198,2,206.3396681,0.4198,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
KAVA/USD,0.4198,0.4198,0.4198,0.4198,1,103.16983405,0.4198,2025-02-03T02:02:00.000000000Z,1,2025-02-03T02:03:00.000000Z
KAVA/USD,0.4229,0.4243,0.4229,0.4243,12,5722.62749622,0.4237,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
KAVA/USD,0.4229,0.4242,0.4229,0.4242,11,5219.62749622,0.4236,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
KAVA/USD,0.4229,0.4242,0.4229,0.4242,10,4313.62749622,0.4235,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
KAVA/USD,0.4229,0.4235,0.4229,0.4235,9,3394.62749622,0.4233,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
KAVA/USD,0.4229,0.4235,0.4229,0.4235,8,2505.4563,0.4233,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
KAVA/USD,0.4229,0.4235,0.4229,0.4235,7,2444.4563,0.4233,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
KAVA/USD,0.4229,0.4235,0.4229,0.4235,6,1539.4563,0.4232,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
KAVA/USD,0.4229,0.4235,0.4229,0.4235,5,1511.816,0.4232,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
KAVA/USD,0.4229,0.4235,0.4229,0.4235,4,1366.816,0.4231,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
KAVA/USD,0.4229,0.4235,0.4229,0.4235,3,1085.2,0.4231,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
KAVA/USD,0.4229,0.4229,0.4229,0.4229,2,701.2,0.4229,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
KAVA/USD,0.4229,0.4229,0.4229,0.4229,1,401.2,0.4229,2025-02-03T02:01:00.000000000Z,1,2025-02-03T02:02:00.000000Z
KAVA/USD,0.4215,0.4229,0.4215,0.4229,20,5521.87712016,0.4221,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
KAVA/USD,0.4215,0.4229,0.4215,0.4229,19,5375.43682016,0.4221,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
KAVA/USD,0.4215,0.4229,0.4215,0.4229,18,5093.82082016,0.422,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
KAVA/USD,0.4215,0.4229,0.4215,0.4229,17,5065.72082016,0.422,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
KAVA/USD,0.4215,0.4229,0.4215,0.4229,16,4657.72082016,0.4219,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
KAVA/USD,0.4215,0.4224,0.4215,0.4217,15,4357.72082016,0.4219,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
KAVA/USD,0.4215,0.4224,0.4215,0.4224,14,3949.72082016,0.4219,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
KAVA/USD,0.4215,0.4224,0.4215,0.4224,13,3862.67912016,0.4219,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
KAVA/USD,0.4215,0.4224,0.4215,0.4224,12,3818.66312016,0.4219,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
KAVA/USD,0.4215,0.4224,0.4215,0.4224,11,3802.16664052,0.4219,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
KAVA/USD,0.4215,0.4224,0.4215,0.4224,10,3785.656,0.4219,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
KAVA/USD,0.4215,0.4224,0.4215,0.4224,9,3508.656,0.4218,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
KAVA/USD,0.4215,0.4224,0.4215,0.4224,8,3214.656,0.4218,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
KAVA/USD,0.4215,0.4224,0.4215,0.4224,7,3156.656,0.4218,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
KAVA/USD,0.4215,0.4224,0.4215,0.4224,6,2993.84,0.4217,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
KAVA/USD,0.4215,0.4224,0.4215,0.4224,5,2740.17,0.4217,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
KAVA/USD,0.4215,0.4215,0.4215,0.4215,4,2000.0,0.4215,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
KAVA/USD,0.4215,0.4215,0.4215,0.4215,3,1471.50145088,0.4215,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
KAVA/USD,0.4215,0.4215,0.4215,0.4215,2,1450.50198644,0.4215,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
KAVA/USD,0.4215,0.4215,0.4215,0.4215,1,21.27399119,0.4215,2025-02-03T02:00:00.000000000Z,1,2025-02-03T02:01:00.000000Z
KAVA/USD,0.4234,0.4235,0.4229,0.4229,8,6124.1734917,0.4233,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
KAVA/USD,0.4234,0.4235,0.4229,0.4229,7,6100.87256233,0.4233,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
KAVA/USD,0.4234,0.4235,0.4233,0.4235,6,6000.0,0.4234,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
KAVA/USD,0.4234,0.4235,0.4233,0.4235,5,4015.91359212,0.4233,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
KAVA/USD,0.4234,0.4234,0.4233,0.4233,4,4000.0,0.4233,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
KAVA/USD,0.4234,0.4234,0.4233,0.4233,3,3328.0625676,0.4233,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
KAVA/USD,0.4234,0.4234,0.4234,0.4234,2,2000.0,0.4234,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
KAVA/USD,0.4234,0.4234,0.4234,0.4234,1,1016.7225676,0.4234,2025-02-03T01:59:00.000000000Z,1,2025-02-03T02:00:00.000000Z
KAVA/USD,0.4237,0.4257,0.422,0.4257,16,10351.827041,0.4232,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
KAVA/USD,0.4237,0.4242,0.422,0.4242,15,10344.827041,0.4232,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
KAVA/USD,0.4237,0.4239,0.422,0.4232,14,8344.827041,0.423,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
KAVA/USD,0.4237,0.4239,0.422,0.4239,13,6344.827041,0.4229,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
KAVA/USD,0.4237,0.4239,0.422,0.4239,12,5626.04473741,0.4228,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
KAVA/USD,0.4237,0.4239,0.422,0.4239,8,4567.04473741,0.4226,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
KAVA/USD,0.4237,0.4239,0.422,0.4239,7,4418.04473741,0.4225,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
KAVA/USD,0.4237,0.4239,0.422,0.4239,6,4374.04473741,0.4225,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
KAVA/USD,0.4237,0.4239,0.422,0.4239,5,4359.45834058,0.4225,2025-02-03T01:58:00.000000000Z,1,2025-02-03T01:59:00.000000Z
